Time_sin,B_TCS,G_TCS,R_TCS,CS,CLA2.0,Illuminance (Test),mEDI(Test),EML,CCT
-0.831469612,2977,3399,2986,0.613153896,2093.71726,1730.194729,1456.833121,1608.256493,5366.336665
-0.843391446,2920,3313,2895,0.607855509,1968.674056,1603.543392,1372.757237,1515.441754,5480.755499
-0.854911871,3282,3709,3219,0.616300675,2175.059835,1731.323038,1502.891343,1659.10201,5575.69536
-0.866025404,3517,3973,3436,0.62205626,2339.883174,1849.261768,1609.173119,1776.430725,5585.689359
-0.876726756,3490,3941,3419,0.622136807,2342.353379,1862.144222,1612.735857,1780.363774,5550.859141
-0.887010833,3521,3966,3415,0.622667905,2358.763282,1873.257729,1623.812897,1792.592162,5555.48608
-0.896872742,3829,4386,3832,0.631149562,2653.210291,2170.186201,1819.909769,2009.071362,5317.601304
-0.906307787,3565,4066,3529,0.626476095,2482.998334,2024.632255,1711.296649,1889.168984,5367.950014
-0.915311479,3282,3759,3286,0.623259185,2377.28582,1977.266447,1649.122267,1820.532191,5273.332838
-0.923879533,2722,3061,2618,0.604057541,1887.104189,1544.753906,1326.022771,1463.849703,5472.650176
-0.932007869,2285,2569,2217,0.582509066,1519.437191,1263.685345,1082.860552,1195.41318,5451.249187
-0.939692621,2047,2309,2005,0.567944182,1335.606625,1126.905445,960.861131,1060.733128,5407.265618
-0.946930129,1731,1963,1727,0.541085846,1080.621835,928.3966782,787.5820977,869.4434552,5363.56268
-0.953716951,1435,1637,1465,0.508171587,860.6189686,751.3569879,634.5962914,700.5562898,5327.87177
-0.960049854,1262,1456,1318,0.484645193,742.2899187,658.4466311,552.5465682,609.9783106,5280.064068
-0.965925826,1106,1280,1164,0.467196603,669.0287728,603.3332105,501.6214346,553.7600139,5208.414353
-0.97134207,910,1036,946,0.425279022,528.6962682,471.0556409,397.2952795,438.5901883,5286.113151
-0.976296007,749,829,742,0.38100792,417.8867141,355.6883274,312.432163,344.9063915,5562.816096
-0.98078528,656,718,633,0.355444069,365.8795358,304.2170566,273.1288706,301.5179112,5716.686869
-0.984807753,553,599,524,0.321878604,307.3638256,252.6628723,230.1638095,254.0870575,5819.989844
-0.98836151,435,467,405,0.277523643,242.9762373,199.9581594,183.1298369,202.1643694,5843.132142
-0.991444861,331,357,312,0.227832326,183.6759891,152.6272152,139.7454624,154.2706189,5816.245878
-0.994056338,235,247,211,0.176109022,132.3369918,106.140902,101.061173,111.5654809,6142.415899
-0.996194698,152,155,124,0.120593624,85.67521466,65.44020032,65.96305916,72.81926575,6802.062187
-0.997858923,82,82,61,0.066080321,45.76106081,34.25713028,36.83699148,40.66583185,7718.577173
-0.999762027,4,5,3,0,0,0,0,0,0
-0.999048222,4,4,3,0,0,0,0,0,0
-0.997858923,3,4,3,0,0,0,0,0,0
-0.996194698,3,4,3,0,0,0,0,0,0
-0.994056338,3,4,3,0,0,0,0,0,0
-0.991444861,3,4,3,0,0,0,0,0,0
-0.98836151,3,4,3,0,0,0,0,0,0
-0.984807753,3,4,3,0,0,0,0,0,0
-0.98078528,3,4,3,0,0,0,0,0,0
-0.976296007,3,4,3,0,0,0,0,0,0
-0.97134207,3,4,3,0,0,0,0,0,0
0.991444861,1,1,1,0,0,0,0,0,0
0.994056338,1,1,1,0,0,0,0,0,0
0.996194698,1,1,1,0,0,0,0,0,0
0.997858923,1,1,1,0,0,0,0,0,0
0.999048222,1,1,1,0,0,0,0,0,0
0.999762027,1,1,1,0,0,0,0,0,0
1,3,3,2,0,0,0,0,0,0
0.999048222,32,29,23,0.02477493,17.75084638,12.2157776,19.37303939,21.38667494,13105.99511
0.997858923,76,72,56,0.062667222,43.40027932,29.70646827,34.29109941,37.85531952,8273.584607
0.996194698,152,148,116,0.124704077,88.89170995,61.86973136,67.38330519,74.38713228,7539.590172
0.994056338,252,242,179,0.19547561,150.5263202,101.8740098,112.3786521,124.0592998,7831.440273
0.991444861,389,385,294,0.270205199,233.4924392,165.2586036,173.5860303,191.6285786,7224.812483
0.98836151,554,564,452,0.337407351,333.2181538,247.1921245,247.2799824,272.9822871,6688.428748
0.984807753,734,763,628,0.393996193,447.337291,341.8136874,331.0973011,365.5115858,6386.871614
0.976296007,1105,1167,972,0.475922463,704.3372469,559.1114526,515.9185891,569.5432159,5969.55677
0.97134207,1301,1373,1138,0.505284258,844.660493,669.024864,614.0856961,677.9138213,5943.648902
0.965925826,1482,1563,1291,0.527567885,980.7357983,773.6792583,707.9101485,781.4903961,5932.657527
0.960049854,1658,1754,1447,0.546042995,1121.368315,884.6230405,804.6326669,888.2662622,5895.51403
0.953716951,1842,1949,1602,0.562220299,1273.432222,999.5343205,907.2893077,1001.593044,5889.613379
0.946930129,2033,2146,1756,0.576108164,1433.626662,1115.830519,1013.319809,1118.644366,5903.031304
0.939692621,2222,2337,1902,0.587612559,1594.448577,1228.084474,1117.835398,1234.023315,5927.813095
0.932007869,2410,2532,2054,0.597629026,1762.124404,1346.595058,1226.314508,1353.777754,5938.702814
0.923879533,2571,2692,2177,0.604636102,1899.132957,1437.392401,1312.513372,1448.936136,5967.863681
0.915311479,2733,2851,2294,0.6107533,2035.321309,1525.571281,1397.254666,1542.485447,5997.911436
0.906307787,2886,2997,2401,0.616036755,2168.015943,1610.125998,1478.952396,1632.674847,6027.007159
0.896872742,3034,3144,2510,0.621149792,2312.413268,1705.570602,1568.10119,1731.089775,6039.486493
0.887010833,3177,3284,2617,0.625265565,2442.206356,1790.239728,1647.203399,1818.413875,6049.539138
0.876726756,3327,3433,2730,0.629247031,2581.345649,1881.511967,1731.888287,1911.900919,6056.238235
0.866025404,3457,3563,2829,0.632428893,2703.690384,1961.731976,1805.734927,1993.423186,6058.325443
0.854911871,3570,3677,2918,0.634738584,2799.573365,2025.332467,1863.210556,2056.872836,6056.91905
0.843391446,3660,3768,2990,0.636468347,2875.706341,2074.480023,1908.194542,2106.532463,6056.16159
0.831469612,3747,3862,3067,0.638052868,2948.982296,2125.925145,1952.267074,2155.185898,6044.616633
